Timestamp,FUN_Q1,FUN_Q2,FUN_Q3,FUN_Q4,FUN_Q5,SAD_Q1,SAD_Q2,SAD_Q3,SAD_Q4,SAD_Q5,English,Gender,Race,Age,Degree,Reading,Glasses,SpritzAns,Comments,t1,t2,t3,t4,t5,t6,t7,t8,t9,FirstType,FirstEssay,Code
12/2/2014 0:26:16,20 minutes,An active break where students act out activities.,Dr. Brendon Gurd and Jasmine Ma,Less off-task behavior,Ontario primary schools,240,27,Guilt longer than Shame,You need more time to mull over and cope with what happened to fully comprehend it.,University of Leuven,Yes,Male,White,24,Bachelor’s degree,"Books or e-books, Text messages and social media",No,I have never used a reading technology like this before.,The benefits are great because it basically is a means for a person to stay focused the entire time.,3502,5514,37743,20804,7321,25530,100950,24942,31629,Normal,Fun,w06233
12/2/2014 0:27:36,4,An active break where students act out activities.,Dr. Brendon Gurd and Jasmine Ma,Happier students,Quebec primary schools,240,27,Guilt longer than Shame,You need more time to mull over and cope with what happened to fully comprehend it.,University of Ghent,Yes,Male,White,40,"Some college, no degree","Magazine articles or blogs, Text messages and social media, Professional documents like emails or reports",No,I have tried using a reading technology like this before once or twice before.,I kind of liked it ,12111,10983,53792,34769,28777,24931,77304,29079,67348,Normal,Sad,z2pq68
12/2/2014 0:27:54,4,An active break where students act out activities.,Dr. Brendon Gurd and Jasmine Ma,Less off-task behavior,Ontario primary schools,5,27,Fear longer than Anxiety,Sadness has less importance than Happiness.,University of Leuven,Yes,Female,White,20,"Some college, no degree","Books or e-books, Text messages and social media, Professional documents like emails or reports",Yes,I have never used a reading technology like this before.,It made me pay better attention,3700,16733,27219,74598,22935,2620,26377,14698,36178,Spritz,Fun,3xcgb6
12/2/2014 0:28:17,4,An active break where students act out activities.,Rosie Hales,Less off-task behavior,Quebec primary schools,240,7,Shame longer than Guilt,You need more time to mull over and cope with what happened to fully comprehend it.,University of Leuven,Yes,Male,White,30,Bachelor’s degree,"Books or e-books, Magazine articles or blogs, Text messages and social media, Professional documents like emails or reports",Yes,I have never used a reading technology like this before.,It forced my reading pace which was slower than normal,3955,6801,61862,31282,8565,23502,98970,29081,63617,Normal,Fun,hliy59
12/2/2014 0:28:33,4,A Fifteen Up Now interval.,Dr. Brendon Gurd and Jasmine Ma,Less off-task behavior,Ontario primary schools,240,27,Guilt longer than Shame,You need more time to mull over and cope with what happened to fully comprehend it.,University of Ghent,Yes,Male,Hispanic or Latino,28,Bachelor’s degree,"Books or e-books, Magazine articles or blogs",Yes,I have never used a reading technology like this before.,,6143,7719,23454,78238,34780,54271,53226,27607,23906,Spritz,Fun,uuv19p
12/2/2014 0:29:27,4,An active break where students act out activities.,Dr. Brendon Gurd and Jasmine Ma,Less off-task behavior,Ontario primary schools,240,7,Guilt longer than Shame,The events that cause it are more traumatic.,University of Amsterdam,Yes,Male,White,35,"Some college, no degree","Science and technology journals, Magazine articles or blogs, Text messages and social media",Yes,I have never used a reading technology like this before.,"It keeps you attentive since you can't take your eyes off of it.  However, it seems my comprehension was a lot more.  I liked it a lot.",50650,10573,24310,76120,35098,3868,59041,38933,80034,Spritz,Fun,1dkxja
12/2/2014 0:29:43,4,An active break where students act out activities.,Dr. Brendon Gurd and Jasmine Ma,Less off-task behavior,Quebec primary schools,240,37,Guilt longer than Shame,The events that cause it are more traumatic.,University of Leuven,Yes,Male,White,31,"Some college, no degree","Books or e-books, Text messages and social media, Professional documents like emails or reports",Yes,I have never used a reading technology like this before.,"The article read using Spritz was harder to follow, because internally I heard it as a series of disconnected words which gave it an almost robotic flow that made it hard to connect as single thoughts or sentences.",10038,12534,25038,97177,36825,5882,67217,32638,60777,Spritz,Sad,cz2ivo
12/2/2014 0:29:56,4,An active break where students act out activities.,Dr. Brendon Gurd and Jasmine Ma,Less off-task behavior,Ontario primary schools,240,27,Shame longer than Guilt,The events that cause it are more traumatic.,University of Leuven,Yes,Male,White,34,Bachelor’s degree,"Books or e-books, Science and technology journals, Magazine articles or blogs, Text messages and social media, Professional documents like emails or reports",No,I have never used a reading technology like this before.,There was no way to pause or look back. I sneezed and lost essentially an entire line of text,11594,12044,26262,103802,36784,5400,146128,42784,68963,Spritz,Sad,agef53
12/2/2014 0:30:03,4,An active break where students act out activities.,Dr. Brendon Gurd and Jasmine Ma,Less off-task behavior,Ontario primary schools,240,27,Fear longer than Anxiety,You need more time to mull over and cope with what happened to fully comprehend it.,University of Leuven,Yes,Female,Black or African American,36,Bachelor’s degree,"Books or e-books, Magazine articles or blogs, Text messages and social media, Professional documents like emails or reports",Yes,I have never used a reading technology like this before.,"It took a few words to get used to it, but it seemed I could read faster this way.",6386,7506,87119,50436,35039,26895,82157,25979,51197,Normal,Sad,yzg95c
12/2/2014 0:30:15,4,An active break where students act out activities.,Dr. Spock,Less off-task behavior,Ontario primary schools,240,27,Guilt longer than Shame,You need more time to mull over and cope with what happened to fully comprehend it.,University of Leuven,Yes,Male,White,34,Bachelor’s degree,"Books or e-books, Science and technology journals, Professional documents like emails or reports",No,I have never used a reading technology like this before.,It seems as though I am merely just trying to keep up with the words as they are presented rather than fully absorbing and understanding the actual message. It seemed like a verbal strobe light which caused some internal dissonance. ,5890,33316,25774,82485,43454,4911,111918,45204,139613,Spritz,Fun,vhb5ff
